This followed an article published byNewsweek in which two psychologists mused on the human taboo against cannibalism noting thatphilosophers have argued that burying the dead could be wasteful in the context of the fight against world hunger.	Cannibalism for the climate thats how far theyve gone!	Population control is another solution embraced by geniuses on the left.	Absent from Bernies argument in favor of curbing the population was an acknowledgment of what itll do to the economy and public services two things that the socialist senator allegedly cares about.	This dystopian idea attracted attention recently after Bernie Sanders brought it up at the last Democrat presidential debate saying people need to be need to curb population growth.	True
The authors conclude that 'national security can and must be pursued with an approach that preserves our natural heritage.'	One of its authors a leading professor from Stanford condemned the US border wall project branding it a 'crime against biodiversity'.	ProfessorDirzo a professor of biology at Stanford said 'The bordersis an ecological theatre where evolution has engendered a plethora of plays.	ProfessorDirzo a professor of biology at Stanford said 'The borderis an ecological theater where evolution has engendered a plethora of plays.	Some of the recommendations include Following existing environmental laws taking action to mitigate ecological harm and forgoing physical barriers in particularly sensitive areas.	False
Like this story?	Meanwhile some NGOs have questioned the economic rationale behind the sale arguing that the way in which federal assets are sold off does not serve the best interests of US taxpayers.	Trump is selling off our oceans and selling out coastal communities and marine life to the oil industry said Kristen Monsell oceans program legal director at the Center for Biological Diversity.	The Center for American Progress a left leaning policy think tank has echoed this statement saying in a statement that offering a nearly unrestricted supply in a low demand market with a cut rate royalty and almost no competition is bad policy and an inexcusable waste of taxpayer resources.	he said.	False
Thats why we need a to fundamentally transform our society Markey added.	The world must wake up.	Rep. Alexandria Ocasio Cortez and Sen. Ed Markey retweeted links to a report signed by more than 11000 scientists who argue that the population must be stabilizedand ideally gradually reducedwithin a framework that ensures social integrity.	So must the solution.	Citizens generally are more concerned about getting a good education obtaining better healthcare and achieving political freedoms than they are tackling climate change according to a 2015 survey from the United Nations.	False
Driven by an anti immigrant agenda the Trump administration is callously putting construction of an environmentally and culturally destructive border wall above water resources for communities on both sides of the border federally protected lands clean air and the lives of hundreds of endangered species all while turning a blind eye to the vital relationships of cross border communities and our longstanding values as a nation she said in a statement.	Trump wants to scare people into letting him ignore the law and endanger wildlife and people Brian Segee an attorney with the Center for Biological Diversity said in a statement.	Trumps wall is a divisive symbol of fear and hatred and it does real harm to the landscape and communities.	Despite sidestepping these laws DHS is committed to responsible environmental stewardship and will continue to assess potential impacts coordinate with relevant stakeholders and to the extent possible offset or mitigate potential impacts department spokesman Carlos Diaz said in an email to HuffPost.	Between 2005 and 2008 the department invoked that authority five times according to the agency.	False
We cant sit back and just do nothing while people are getting sick and dying especially when you know theres another way.	My message to you Mr. President is that as a public servant and especially as a president your first and most important responsibility is to protect the people Schwarzenegger begins.	The trouble is President Trump would heartily agree with Schwarzeneggers point while perhaps debating the exact statistics.	But this has nothing to do with the Paris climate accord.	Meanwhile he should probably think about terminating that video.	False
Mr. Sanders was an early supporter of the Green New Deal an ambitious but nonbinding congressional plan for tackling global warming and economic inequality.	It declares climate change a national emergency envisions building new solar wind and geothermal power sources across the country and commits 200 billion to help poor nations cope with climate change.	He is bestowing that same name upon his new plan which calls for the United States to eliminate fossil fuel use by 2050.	Mr. Sanders unveiled his proposal one day after Gov.	WASHINGTON Senator Bernie Sanders on Thursday release d a 16.3 trillion blueprint to fight climate change the latest and most expensive proposal from the field of Democratic presidential candidates aimed at reining in planet warming greenhouse gases.	False
The numbers don't lie.	What we need now is global political will and a new sense of urgency.	It is very worrying.	We are still emitting far too much and this needs to be reversed said Erik Solheim head of UN Environment.	Despite the declaration by President Trump that he intends to take the US out of the deal negotiators meeting in Germany will be aiming to advance and clarify the rulebook of the Paris agreement.	False
California Gov.	We're for clean air and water but at the same time we're for reasonable regulations Deputy Interior Secretary David Bernhardt told reporters.	Its bloody combat.	The Associated Press contributed to this report.	Its bad and how we counteract it is with a climate summit with normal people respecting the truth and communicating that with other normal people and combating the President of the United States in what are lies distortions and quite frankly bizarre behavior.	False
Formerly owned by Hollywood legend Marlon Brando who was keen that it should become an ecological haven it has now developed in to a hideaway for the rich and famous seeking conscience soothing holidays that do less harm to the planet.	Technology could help here too.	But you'd be surprised.	It is often felt that sustainability is not compatible with the luxury end of the hospitality market but The Brando proves it is possible says Prof Graham Miller who holds a chair in sustainability in business at the University of Surrey.	Led by Dr Herv Bossin of the Institut Louis Malard the programme breeds and releases non biting male mosquitoes infected with a Wolbachia virus that makes wild females who do bite sterile.	False
Theres a resolution that has a dream but theres no bill theres no contents at all.	Both lawmakers were responding to a question asked by Axios Amy Harder during the event.	Republicans on the other hand want to get Democrats on the record in support of a proposal they see as socialism.	Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience.	RELATED John Kasich Praises The Green New Deal However Senate Democrats are trying to avoid having to vote on the Green New Deal resolution.	False
